X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7904348.42368246,5218988.95300298,N_601230550253966604,East Boston Senior Center,Q3AB-4Q4V-8E7P,EBSC-AP-5,"18 Barnes Avenue, East Boston, MA 02128",42.38608,-71.00597,"['Inside', 'employee']",2024/08/20 04:31:50+00,1,,,Inside,employee,151
-7904348.42368246,5218988.95300298,N_601230550253966604,East Boston Senior Center,Q3AB-SYXF-PX75,EBSC-AP-3,"18 Barnes Avenue, East Boston, MA 02128",42.38608,-71.00597,"['Inside', 'employee']",2024/08/20 04:31:50+00,1,,,Inside,employee,152
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-JBPL-DSNV,AP-MR86-CS-23,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,153
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-ZDPZ-2LNE,,"1 City Hall Square, Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,154
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-QYJ5-RXEJ,AP-MR86-CS-10,"1 City Hall Square, Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,155
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-2N4M-BWUD,,,42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,156
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-TF7U-TX4P,AP-MR86-IWF-ROOM,"One City Hall Sq, Pavilion Bld, IWF Room,
Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,157
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-95XZ-766Y,,,42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,158
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-M6TA-MFWJ,,,42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,159
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-R6BQ-D5KN,AP-MR86-CS-27,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,160
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-M9YS-PAT8,,"1 City Hall Square, Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,161
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-E75T-LLQX,AP-MR86-CS-37,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,162
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-BFV5-YGNC,City Hall Pavilion - Interior AP2,"One City Hall Sq, Pavilion Bldg
Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,163
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-8YNT-BM6Q,AP-MR86-CS-36?,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,164
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-CANN-4NB2,,"1 City Hall Square, Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,165
-7912102.65075967,5205535.52841454,N_568579452955534204,Dorchester,Q2CK-9ECJ-KEVB,DOT-HOLMES-AP2,"40 School St, Dorchester",42.296751339,-71.075627407,"['BPS', 'Holmes-Elementary-School', 'Outside']",2024/08/20 04:31:39+00,1,BPS,,Outside,Holmes Elementary School,166
-7917511.77468966,5199474.76542107,N_568579452955538316,Hyde Park,Q2CK-ZJFC-GBK2,HP-BPDE18-AP1,"1249 Hyde Park Ave., Hyde Park, MA",42.2564673480001,-71.124218394,"['BPD', 'District-E-18', 'Outside']",2024/08/20 04:31:41+00,1,BPD,,Outside,District E 18,167
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-2F27-DVJ3,AP-MR86-CS-14,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,168
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-EETG-KYUS,AP-MR86-CS-31,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,169
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-A943-FE9F,City Hall Pavilion - Interior AP1,"One City Hall Sq, Pavilion Bldg
Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,170
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-WU87-WVGK,3rd Floor Lobby Entrance,"1 City Hall Plaza, 
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,171
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-JXU4-QPQ3,,"1 City Hall Square, Boston, MA 02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,172
-7910170.53424036,5215103.06324401,N_601230550253966673,Downtown Boston - City Hall Plaza and Pavilion,Q3AE-A793-TEM9,,"1 City Hall Plaza, Pavilion
Boston, MA  02201",42.360291327,-71.058270909,['City-Hall'],2024/08/20 04:31:51+00,1,,,,City Hall,173
-7907596.71740692,5210407.52962179,N_601230550253966945,BCYF-Curley,Q3AC-96AP-QJ9X,BCYF-CURLEY-AP3,"1663 Columbia Rd, Boston, MA 02127",42.3291153320001,-71.0351499189999,"['BCYF', 'Inside', 'UXI', 'employee']",2024/08/20 04:31:51+00,1,BCYF,,Inside,UXI employee,174
